id,original_name,normalized_name
a366c771-f1ce-4f81-abf6-b0e7fb415660,"Cyclacel Pharmaceuticals, Inc.",cyclacel pharmaceuticals inc
c7dceddf-977e-49c2-b0a7-b80d2ab66293,"Cyclacel Pharmaceuticals, Inc.",cyclacel pharmaceuticals inc
4a071773-fab7-4b31-b459-c6ae6435f1bc,Lexaria Bioscience Corp.,lexaria bioscience corp
cc900c3f-e4a6-4586-a8f3-7c4dd786ad09,Lexaria Bioscience Corp.,lexaria bioscience corp
61698d50-eb32-4dde-9ee8-0e39bffe3865,Nuvve Holding Corp.,nuvve holding corp
db1e1bc3-5b3b-46a1-a617-6ab0252540a1,Nuvve Holding Corp.,nuvve holding corp
d6429a28-7292-44aa-abbf-4d90a93da875,Cemtrex Inc,cemtrex inc
5ffdc8f7-7a75-43e9-a10f-9732a96ae536,Cemtrex Inc,cemtrex inc
1d9dc162-1dd0-4cf2-9c6e-39c2fa6f7f14,Kokusai Electric Corporation/Adr,kokusai electric corporationadr
255f8ff0-e252-4ed9-9106-4e074ce45c94,Kokusai Electric Corporation/Adr,kokusai electric corporationadr
ca6cd079-1fc3-472f-a212-32b2de55b577,Hansoh Pharmaceutical Group Co Limited/Adr,hansoh pharmaceutical group co limitedadr
5dce329d-269e-4b5b-8d42-7be74eb1cbc4,Hansoh Pharmaceutical Group Co Limited/Adr,hansoh pharmaceutical group co limitedadr
41cccfe9-f1e4-4c85-8735-e8882bb18481,Northland Power Inc./Adr,northland power incadr
e78d0f19-eadb-48e4-8717-150857d1a4a1,Northland Power Inc./Adr,northland power incadr
55abf913-e276-45ee-87ca-bf9bcb659b8b,North West Co Inc./Adr,north west co incadr
dec52d7a-b5f9-4d40-b9bf-92d33ea16e68,North West Co Inc./Adr,north west co incadr
2655f54f-0e70-441f-858e-83e5bdccbf9f,Plastic Omnium/Adr,plastic omniumadr
ce2911b2-c8a8-4513-af06-4660b26f5ef5,Plastic Omnium/Adr,plastic omniumadr
30d93327-24a2-46fc-bd69-1c831ccb0c8f,Mandatum Oyj/Adr,mandatum oyjadr
b4e4af20-4cb2-4c10-9ca5-1f91fac09230,Mandatum Oyj/Adr,mandatum oyjadr
1cc039ca-5ac5-4897-a698-6393756b97b4,Lapco Holdings Limited/Adr,lapco holdings limitedadr
0a94ed39-fa8a-4be3-9d81-f9f7f7d25fe1,Lapco Holdings Limited/Adr,lapco holdings limitedadr
c1ca8c8e-29c2-49a2-b656-f67a856140ed,Topaz Energy Corp./Adr,topaz energy corpadr
6be62250-8bbe-45bf-afab-765ecf02eddd,Topaz Energy Corp./Adr,topaz energy corpadr
83fb8cb2-0b9d-49ce-9ee8-8435c404184e,"Sugi Holdings Co., Ltd./Adr",sugi holdings co ltdadr
65f136b9-7f27-41a5-a2ff-9d14ee93051e,"Sugi Holdings Co., Ltd./Adr",sugi holdings co ltdadr
766ab1d2-1351-447e-ac91-247f00828ca4,Next Fifteen Communications Group Plc/Adr,next fifteen communications group plcadr
0427c94a-f338-479d-985b-7cf371e5e51d,Next Fifteen Communications Group Plc/Adr,next fifteen communications group plcadr
3eac79fb-0405-429d-b0e0-6ca236be5fc2,Onward Medical N.V./Adr,onward medical nvadr
27ff296b-04cd-4f2c-b683-fa09192241d8,Onward Medical N.V./Adr,onward medical nvadr
7fbc7347-e202-4ebd-b416-609faa6af076,Mercury Nz Ltd./Adr,mercury nz ltdadr
bd921a0f-5c78-4b2f-8798-50456ce07917,Mercury Nz Ltd./Adr,mercury nz ltdadr
6d652b63-f98b-4506-bb96-5508ac7419b5,Meridian Energy Ltd/Adr,meridian energy ltdadr
dbcc6934-19ad-4608-b401-02b76a79d84a,Meridian Energy Ltd/Adr,meridian energy ltdadr
8a083d2b-ef09-4696-b7fe-7044237313df,Liberty Media Corp,liberty media corp
4b631b5e-44a7-4fa6-b6e6-c6998d20e301,Liberty Media Corp,liberty media corp
c4112ac3-c57b-4964-b633-d517b5cf3636,Webster Financial Corp,webster financial corp
e557be84-d355-4b58-b862-3517b1189bdf,Webster Financial Corp,webster financial corp
6a5a6679-2d55-46be-a59a-8728169c9752,Oxford Lane Capital Corp.,oxford lane capital corp
7e5d658c-8899-4f6d-84fe-d7569eb3c18b,Oxford Lane Capital Corp.,oxford lane capital corp
b497ae3f-e2bb-447f-a963-b813dfd99e21,Baird,baird
f9c8cb35-88b6-4bdc-a4f4-8dd784391069,Baird,baird
52c1ba8a-7ed9-457d-a1f3-c9bdabc662fd,Baird,baird
e227003b-3645-4859-b3e3-f6765949865a,Baird,baird
74dbfd59-e440-4866-95d2-609e3b279921,Baird,baird
5601747a-86e4-4b48-b9fa-d95a8d875b78,Baird,baird
802cab1f-f11c-4195-8c29-9a60bab9cde9,Hellermanntyton,hellermanntyton
2c801f7b-476b-4cea-a35b-793acbfe28c1,Hellermanntyton,hellermanntyton
480c496b-89c1-4f2a-bc6e-7a61c95cf8b8,Hellermanntyton,hellermanntyton
456e6b82-67e6-4bf1-9856-9c3f86ef2931,Hellermanntyton,hellermanntyton
05fa6135-497d-4867-b4b9-40053508dafc,Hellermanntyton,hellermanntyton
2e9f762b-03a6-40db-bec6-b17efa24f40e,HellermannTyton,hellermanntyton
09e4c1f4-338f-425e-86fb-dd2f4dccaf48,Journal Media Group,journal media group
b24cad52-9cdc-4f66-9a3a-470c356f42ee,Journal Media Group,journal media group
ae3bfee8-3a1d-4691-b7af-eff5415a98d7,Journal Media Group,journal media group
a987b9bf-d64b-4c18-9707-a4fd3fabd34d,Journal Media Group,journal media group
fb3d4d23-2192-4409-a81c-d6de1ebb9cbd,Journal Media Group,journal media group
0a8749f6-30ce-43a1-83ca-33b8e3b6d3e6,Journal Media Group,journal media group
6cf03182-a5b0-41a0-a7ff-095ba223428b,Journal Media Group,journal media group
0b2d8f45-ecc3-488c-a6a0-11fbb82477f4,Journal Media Group,journal media group
4a616e81-8e54-4c11-93ae-c06089cc711a,Journal Media Group,journal media group
26ec6e86-176f-4d94-8feb-8434c3d7d00a,Bank Mutual,bank mutual
84b834ae-8c0e-4369-ac52-230242ff0ad0,Bank Mutual,bank mutual
8387ee7a-8a8e-4043-ba00-863c18445085,Bank Mutual,bank mutual
9adc174e-f3b8-43a5-bf74-c4dbb0ee8308,Bank Mutual,bank mutual
122dea72-1d8a-430e-98fc-244199842120,Bank Mutual,bank mutual
1babeaaf-dd6c-40ab-b41c-34b04d5e59eb,Bank Mutual,bank mutual
91b1c7b3-5d98-4d7a-aa03-0e9d3cd0398a,Pick 'N Save,pick n save
05c52d8b-fc76-4ed0-b867-e3aa90ff4777,Pick 'N Save,pick n save
578a277d-5a75-414d-8098-c7ecb704cd88,Pick 'N Save,pick n save
b20fa553-a1cc-49ca-a287-859eea8c15af,Pick 'N Save,pick n save
25b746a8-84c2-43bd-ba8a-09d12281766d,Pick 'N Save,pick n save
24815323-6bca-4bd0-9bd8-07bee6741f0a,Pick 'n Save,pick n save
36105b18-5ea4-4f62-8637-d69b94a73049,None,none
79f0c053-bff6-44ee-b25a-a01dce7687c1,None,none
8ecc50f9-42b1-457b-b995-232685213228,None,none
98702be4-4ff4-48b5-bb7a-206330f99d6a,None,none
3d269585-b2d0-41c2-a67c-84768c1755a1,None,none
318c0061-7fe8-4214-926d-21dab424d8ff,None,none
76b0073f-a59d-47c6-8dcf-a848766ec5e4,None,none
990ab4ce-ff7d-4c23-b16a-bbcf880303ac,None,none
8b87495e-c4a4-4c4b-ad46-a35eba8c32a0,None,none
